Temperature,Humidity
29.46,42.82
29.50,42.66
29.50,42.38
29.53,42.20
29.56,41.97
29.56,41.98
29.54,42.01
29.54,41.99
29.54,41.96
29.56,41.94
29.56,41.95
29.56,41.98
29.57,42.03
29.57,42.13
29.57,42.16
29.57,42.18
29.59,42.18
29.59,42.13
29.60,42.07
29.60,42.01
29.60,41.96
29.60,41.91
29.61,41.81
29.60,41.79
29.60,41.80
29.60,41.81
29.62,41.81
29.62,41.80
29.62,41.80
29.63,41.77
29.62,41.73
29.62,41.60
29.62,41.45
29.62,41.39
29.63,41.45
29.62,41.50
29.64,41.55
29.63,41.54
29.63,41.54
29.63,41.55
29.64,41.57
29.65,41.61
29.65,41.61
29.65,41.56
29.64,41.47
29.64,41.30
29.65,41.26
29.64,41.19
29.65,41.22
29.64,41.31
29.64,41.43
29.66,41.53
29.66,41.57
29.66,41.56
29.65,41.46
29.65,41.37
29.65,41.42
29.66,41.52
29.65,41.61
29.65,41.63
29.64,41.67
29.65,41.66
29.66,41.60
29.65,41.54
29.66,41.47
29.66,41.49
29.66,41.54
29.66,41.62
29.68,41.67
29.68,41.68
29.68,41.69
29.68,41.76
29.68,41.84
29.69,41.90
